

Time Index	X1 in mm	W1 in mm	Y1 in %	X2 in °C	W2 in °C	Y2 in %	F1 in l/h	T1 in °C	T2 in °C	T3 in °C	Pos in %	
03:03.46	249.937500	250.000000	38.731892	32.968719	20.000000	0.000000	188.799988	32.968719	32.504101	27.702892	0.520000	
03:04.46	249.750000	250.000000	38.335884	32.968719	20.000000	0.000000	188.799988	32.968719	32.504101	27.702892	0.525000	
03:05.46	249.625000	250.000000	38.039005	32.968719	20.000000	0.000000	188.799988	32.968719	32.504101	27.702892	0.525000	
03:06.46	249.625000	250.000000	37.983009	32.968719	20.000000	0.000000	188.799988	32.968719	32.504101	27.702892	0.525000	
03:07.46	249.750000	250.000000	38.169823	32.968719	20.000000	0.000000	188.799988	32.968719	32.504101	27.702892	0.525000	
03:08.46	249.937500	250.000000	38.513836	32.968719	20.000000	0.000000	188.799988	32.968719	32.504101	27.702892	0.525000	
03:09.46	249.937500	250.000000	38.496346	33.020332	20.000000	0.000000	188.799988	33.020332	32.504101	27.702892	0.525000	
03:10.46	249.750000	250.000000	38.070900	32.968719	20.000000	0.000000	188.799988	32.968719	32.504101	27.702892	0.525000	
03:11.46	249.812500	250.000000	38.159786	32.968719	20.000000	0.000000	188.799988	32.968719	32.504101	27.702892	0.525000	
03:12.46	249.500000	250.000000	37.516888	33.020332	20.000000	0.000000	188.840012	33.020332	32.504101	27.702892	0.525000	
03:13.46	249.750000	250.000000	37.959457	33.020332	20.000000	0.000000	188.840012	33.020332	32.504101	27.702892	0.525000	
03:14.46	249.625000	250.000000	37.626663	33.020332	20.000000	0.000000	188.840012	33.020332	32.504101	27.702892	0.525000	
03:15.46	249.750000	250.000000	37.836884	33.020332	20.000000	0.000000	188.840012	33.020332	32.504101	27.702892	0.525000	
03:16.46	249.750000	250.000000	37.808380	33.020332	20.000000	0.000000	188.840012	33.020332	32.504101	27.702892	0.525000	
03:17.46	249.937500	250.000000	38.120213	33.020332	20.000000	0.000000	188.840012	33.020332	32.504101	27.702892	0.520000	
03:18.46	249.812500	250.000000	37.861198	33.020332	20.000000	0.000000	188.840012	33.020332	32.504101	27.702892	0.525000	
03:19.46	249.812500	250.000000	37.828362	33.020332	20.000000	0.000000	188.840012	33.020332	32.504101	27.702892	0.525000	
03:20.46	249.812500	250.000000	37.797897	33.020332	20.000000	0.000000	188.880005	33.020332	32.504101	27.702892	0.525000	
03:21.46	250.000000	250.000000	38.140125	33.020332	20.000000	0.000000	188.840012	33.020332	32.504101	27.702892	0.525000	
03:22.46	249.937500	250.000000	38.010906	33.020332	20.000000	0.000000	188.880005	33.020332	32.504101	27.702892	0.525000	
03:23.46	250.000000	250.000000	38.131218	33.020332	20.000000	0.000000	188.880005	33.020332	32.504101	27.702892	0.525000	
