Time Index	X1 in mm	W1 in mm	Y1 in %	X2 in °C	W2 in °C	Y2 in %	F1 in l/h	T1 in °C	T2 in °C	T3 in °C	Pos in %
07:06.96	247.75	250	56.595364	27.083385	20	0	540.600037	27.083385	26.567129	26.30899	0.465
07:07.96	247.4375	250	55.483734	27.083385	20	0	540.600037	27.083385	26.567129	26.30899	0.47
07:08.96	247.3125	250	54.867207	27.083385	20	0	540.600037	27.083385	26.567129	26.30899	0.47
07:09.96	247.3125	250	54.308426	27.083385	20	0	540.600037	27.083385	26.567129	26.30899	0.47
07:10.96	247.3125	250	53.931274	27.083385	20	0	540.640015	27.083385	26.567129	26.30899	0.47
07:11.97	247.125	250	53.190281	27.083385	20	0	540.640015	27.083385	26.567129	26.30899	0.465
07:12.96	247.3125	250	53.154629	27.083385	20	0	540.640015	27.083385	26.567129	26.30899	0.465
07:13.97	247.3125	250	52.607346	27.031748	20	0	540.640015	27.031748	26.567129	26.30899	0.47
07:14.96	247.625	250	52.870979	27.031748	20	0	540.640015	27.031748	26.567129	26.30899	0.47
07:15.96	247.75	250	52.608116	27.083385	20	0	540.640015	27.083385	26.567129	26.30899	0.47
07:16.97	248.1875	250	53.16993	27.031748	20	0	540.679993	27.031748	26.567129	26.30899	0.47
07:17.96	248.25	250	53.044136	27.083385	20	0	540.679993	27.083385	26.618744	26.30899	0.47
07:18.97	248.5625	250	53.314308	27.083385	20	0	540.679993	27.083385	26.618744	26.30899	0.47
07:19.96	249.3125	250	54.628677	27.083385	20	0	540.679993	27.083385	26.618744	26.30899	0.47
07:20.97	250.124985	250	56.176548	27.031748	20	0	540.679993	27.031748	26.567129	26.30899	0.47
07:21.97	251.062515	250	58.135792	27.083385	20	0	540.679993	27.083385	26.618744	26.360626	0.47
07:22.97	251.500015	250	59.175522	27.031748	20	0	540.719971	27.031748	26.618744	26.360626	0.47
07:23.97	252.125	250	60.664268	27.083385	20	0	540.719971	27.083385	26.567129	26.360626	0.47
07:24.97	252.750015	250	62.414909	27.031748	20	0	540.719971	27.031748	26.567129	26.360626	0.47
07:25.97	253.437485	250	64.199066	27.083385	20	0	540.719971	27.083385	26.618744	26.360626	0.47
07:26.96	253.6875	250	65.190231	27.031748	20	0	540.719971	27.031748	26.618744	26.360626	0.47
07:27.97	253.437485	250	65.458588	27.031748	20	0	540.719971	27.031748	26.618744	26.360626	0.47
07:28.96	253.562515	250	66.222618	27.083385	20	0	540.76001	27.083385	26.567129	26.360626	0.47
07:29.96	253.562515	250	66.711861	27.083385	20	0	544.880005	27.083385	26.618744	26.360626	0.47
07:30.97	253.062485	250	66.423065	27.083385	20	0	544.880005	27.083385	26.618744	26.360626	0.47
07:31.97	252.9375	250	66.617035	27.083385	20	0	544.880005	27.083385	26.618744	26.360626	0.47
07:32.97	252.125	250	65.539085	27.083385	20	0	544.880005	27.083385	26.618744	26.360626	0.47
07:33.97	251.812485	250	65.201126	27.083385	20	0	544.919983	27.083385	26.618744	26.360626	0.47
07:34.97	251.5625	250	64.929924	27.083385	20	0	544.919983	27.083385	26.618744	26.360626	0.47
07:35.97	251.1875	250	64.495514	27.083385	20	0	544.919983	27.083385	26.618744	26.360626	0.47
07:36.97	250.875	250	64.022202	27.031748	20	0	544.919983	27.031748	26.618744	26.360626	0.47
07:37.97	250.562485	250	63.521595	27.083385	20	0	544.919983	27.083385	26.618744	26.463879	0.47
07:38.97	250.250015	250	62.984959	27.083385	20	0	544.919983	27.083385	26.618744	26.463879	0.47
07:39.97	249.75	250	61.997223	27.083385	20	0	544.919983	27.083385	26.618744	26.463879	0.47
07:40.97	249.625	250	61.701283	27.083385	20	0	544.919983	27.083385	26.618744	26.463879	0.47
07:41.97	249.1875	250	60.68927	27.083385	20	0	544.919983	27.083385	26.618744	26.463879	0.47
07:42.97	248.875	250	59.91951	27.083385	20	0	544.919983	27.083385	26.618744	26.463879	0.47
07:43.97	248.5	250	59.000416	27.083385	20	0	544.959961	27.083385	26.67038	26.463879	0.47
07:44.97	248.0625	250	57.776325	27.083385	20	0	544.959961	27.083385	26.67038	26.463879	0.47
07:45.97	247.75	250	56.852955	27.083385	20	0	544.959961	27.083385	26.618744	26.463879	0.465
07:46.97	247.5625	250	56.008728	27.083385	20	0	544.959961	27.083385	26.618744	26.463879	0.47
07:47.97	247.4375	250	55.387089	27.083385	20	0	544.959961	27.083385	26.618744	26.463879	0.47
07:48.97	247.25	250	54.662193	27.083385	20	0	544.959961	27.083385	26.618744	26.463879	0.47
07:49.97	247	250	53.581829	27.083385	20	0	540.840027	27.083385	26.67038	26.463879	0.47
07:50.97	246.9375	250	53.006805	27.083385	20	0	540.840027	27.083385	26.67038	26.463879	0.47
07:51.97	246.8125	250	52.331215	27.083385	20	0	540.840027	27.083385	26.67038	26.463879	0.47
07:52.97	246.9375	250	51.922676	27.083385	20	0	540.840027	27.083385	26.67038	26.463879	0.47
07:53.97	247.125	250	51.879257	27.083385	20	0	540.840027	27.083385	26.618744	26.463879	0.47
07:54.97	247.25	250	51.528805	27.083385	20	0	540.880005	27.083385	26.67038	26.463879	0.47
07:55.97	247.4375	250	51.495029	27.083385	20	0	540.880005	27.083385	26.618744	26.463879	0.47
07:56.97	247.625	250	51.519218	27.083385	20	0	540.880005	27.083385	26.67038	26.463879	0.47
07:57.97	248.0625	250	51.927963	27.083385	20	0	540.880005	27.083385	26.67038	26.463879	0.47
07:58.97	248.5	250	52.5499	27.083385	20	0	540.880005	27.083385	26.67038	26.463879	0.47
07:59.97	249	250	53.337868	27.083385	20	0	540.880005	27.083385	26.67038	26.463879	0.47
08:00.97	250.124985	250	55.4659	27.083385	20	0	540.880005	27.083385	26.67038	26.463879	0.47
08:01.97	251.1875	250	57.641556	27.083385	20	0	540.880005	27.083385	26.67038	26.463879	0.47
